id;comment_pid;comment_time;comment_content;client_type;praise_count
1;66620;2020-09-22T02:15:08;Borders GB;Kina Reactive Corporate;71093
2;83295;2020-09-21T14:13:24;Technician;Seychelles Rupee;85166
3;79821;2020-09-21T18:08:27;Concrete Mississippi;incubate;63982
4;6244;2020-09-21T12:54:04;mobile calculate Wooden;e-services initiatives;9931
5;67242;2020-09-21T12:55:15;Gorgeous Coordinator;Mouse;54109
6;54874;2020-09-21T14:13:07;Michigan;SCSI extensible;65833
7;31258;2020-09-21T08:46:45;Customer primary Mobility;Isle of Man;53135
8;58178;2020-09-21T07:34:09;FTP Investment Account;virtual portals;91504
9;87365;2020-09-22T02:32:34;yellow;Intelligent Wooden Chips;16424
10;18475;2020-09-21T08:20:14;Licensed Soft Soap;parse Brand Arizona;4203
